time,x,y
0.0,1.0,0.0
1.0,0.8417280375283926,0.5125785697752102
2.0,0.47350782818528453,0.7795003522401174
3.0,0.06686503096453908,0.779538446292819
4.0,-0.23891100869056314,0.5818517622444022
5.0,-0.3727091523003612,0.3005557297951381
6.0,-0.3365392831192187,0.04680694969400762
7.0,-0.18597391448932124,-0.10584142574652783
8.0,0.001451155969215324,-0.13504380296030144
9.0,0.15657369690199913,-0.06350883113598986
10.0,0.23843273549992192,0.05990112695206631
11.0,0.23997891211763336,0.18249277630796087
12.0,0.181531641816292,0.26550097727029875
13.0,0.09723083219133186,0.2927390808894686
14.0,0.020613971157001316,0.2700381031911782
15.0,-0.025968788648830374,0.2175589185621168
16.0,-0.03547653857595938,0.1597001527287208
17.0,-0.014488248731710649,0.11626721725492749
18.0,0.022400883380301637,0.0973422160355961
19.0,0.05934089471195988,0.10257485849120594
20.0,0.08457962708240056,0.12404616692109216
21.0,0.09310755965676246,0.15072645743635046
22.0,0.08654634898679207,0.17275753605690902
23.0,0.07090315749618195,0.184364178999141
24.0,0.05349746198083246,0.18452612652370892
25.0,0.04034031831130916,0.17618052607827264
26.0,0.03449215452332955,0.16418071338204426
27.0,0.035943873337740295,0.1532926333609378
28.0,0.04232009266093056,0.146686818215307
29.0,0.05033202356737453,0.145374171638146
30.0,0.05698761204608007,0.14837796034192008
31.0,0.060541502098474365,0.1536339073288253
32.0,0.06064222133897653,0.15887728826237268
33.0,0.05817711719572485,0.16246287748172528
34.0,0.0545793251442539,0.16364216695791314
35.0,0.051294299287262375,0.1626984149608081
36.0,0.04929734327728328,0.16046512090670711
37.0,0.04886947495567468,0.1579911278090647
38.0,0.04976085247629738,0.15613562182755267
39.0,0.05133491687216844,0.1553095493845686
40.0,0.05291265903198904,0.15552886907696453
41.0,0.053988912047261986,0.15645596262369016
42.0,0.054355862440905595,0.1575913621123568
43.0,0.0540702653534167,0.15852723896213167
44.0,0.05340491016782309,0.15903511634322445
45.0,0.05265961149980218,0.1590321257216475
46.0,0.05209909909699449,0.15865776933839668
47.0,0.05185487514021249,0.15814604618443992
48.0,0.051930456329494154,0.15768706636165677
49.0,0.052206608650927695,0.15741457359834127
50.0,0.052545364939939235,0.15736632887276136
